date_and_time, travel_mode, x_acc [m/s^2], y_acc [m/s^2], z_acc [m/s^2], x_grav [m/s^2], y_grav [m/s^2], z_grav [m/s^2], x_lin_acc [m/s^2], y_lin_acc [m/s^2], z_lin_acc [m/s^2], x_gryo [rad/s], y_gyro [rad/s], z_gyro [rad/s], light [lux], x_mag [uT], y_mag [uT], z_mag [uT], x_orient [deg], y_orient [deg], z_orient [deg], prox [cm], sound_lvl [db] 
2014_11_30 15:09:55.951, walking, -1.3756552, 8.049625, 5.6933055, -1.8319907, 8.916498, 3.6483226, 0.15668797, -0.24033642, 0.84639215, -0.010079277, 0.35277468, 0.26633725, 100.0, 3.4199998, 51.84, 14.099999, -0.6835818, -1.14143, 0.46536297, 5.0, null 
2014_11_30 15:09:56.577, walking, -1.6889231, 7.940663, 5.679685, -1.9738933, 7.6137195, 5.8570824, 0.28497016, 0.3269434, -0.17739725, -0.028710667, -0.12156218, -0.03268129, 100.0, 2.1599998, 48.66, 23.34, -0.59517, -0.8889069, 0.3250556, 5.0, null 
2014_11_30 15:09:57.082, walking, -1.2803127, 8.880466, 4.167826, -1.1532457, 9.137082, 3.3695917, -0.07258558, -0.39281845, 0.6484108, 0.07238753, 0.0021380284, 0.023518313, 100.0, 5.04, 50.82, 18.3, -1.2256489, -1.1991289, 0.32975477, 5.0, null 
2014_11_30 15:09:57.628, walking, -1.2666923, 8.866846, 3.7319753, -1.1606445, 9.196392, 3.20151, -0.10604775, -0.32954597, 0.53046536, -0.011301007, 0.0036651916, 0.014660766, 100.0, 5.7599998, 52.559998, 13.92, -0.91475827, -1.2161546, 0.3477938, 5.0, null 
2014_11_30 15:09:58.213, walking, -1.7025435, 8.962189, 3.7319753, -1.7295512, 8.828694, 3.9029725, -0.15005684, 0.03815174, 0.4419186, 0.3454443, -0.376293, -0.344528, 100.0, 4.5, 53.64, 17.039999, -0.7877277, -1.1204036, 0.41713193, 5.0, null 
2014_11_30 15:09:58.829, walking, -1.8115063, 8.730643, 3.840938, -1.9044629, 8.764222, 3.9663355, 0.09295666, -0.033578873, -0.12539744, -0.10903945, -0.16707164, 0.033292156, 100.0, 3.4199998, 52.5, 18.24, -0.8229677, -1.1055295, 0.4476474, 5.0, null 
2014_11_30 15:09:59.365, walking, -1.7161638, 8.60806, 4.344891, -1.7794387, 8.636485, 4.2912817, 0.10413599, 0.039676666, -0.05535364, -0.077579886, -0.05955936, 0.015577064, 100.0, 3.4199998, 53.52, 20.279999, -0.8292207, -1.0772882, 0.39308324, 5.0, null 
2014_11_30 15:09:59.890, walking, -1.7297841, 8.648921, 4.4538536, -1.671331, 8.591399, 4.4232244, -0.058453083, 0.05752182, 0.030629158, 0.026267206, -0.020158553, 0.013439035, 100.0, 3.06, 53.46, 20.22, -0.7782592, -1.0676688, 0.36127004, 5.0, null 
2014_11_30 15:10:00.489, walking, -1.6753027, 8.4854765, 4.5219555, -1.6528327, 8.51853, 4.5687175, -0.022469997, -0.033053398, -0.04676199, -0.06383542, -0.018020526, 0.040927973, 100.0, 3.6599998, 52.92, 19.38, -0.7187791, -1.0524673, 0.34712312, 5.0, null 
2014_11_30 15:10:01.073, walking, -1.8932283, 7.8998017, 5.7750273, -1.267686, 7.9590616, 5.5871906, -0.17607081, 0.22676754, -0.8473096, 0.022296581, 0.52442783, 0.0036651916, 100.0, 2.76, 51.539997, 22.98, -0.55947584, -0.94688296, 0.22311406, 5.0, null 
2014_11_30 15:10:01.541, walking, -1.6753027, 7.600154, 5.8567495, -1.5626401, 7.282909, 6.378697, -0.11266267, 0.317245, -0.5219474, 0.08399397, 0.22602014, 0.08093964, 100.0, 6.7799997, 49.86, 27.72, -0.73459375, -0.8370189, 0.24024647, 5.0, null 
